source_site,brand,model,year,vehicle_age,mileage_km,log_mileage,transmission,fuel_type,engine_cc,location,price_lkr,log_price
ikman,Toyota,Townace,1997.0,29.0,2790000.0,14.841552512220423,Other,Other,20000.0,"Kiribathgoda, Gampaha",60000000,17.909855136853043
ikman,Toyota,Roomy,2025.0,1.0,30000.0,10.308985993422082,Automatic,Petrol,10000.0,"Kotte, Colombo",114000000,18.5517090151307
ikman,Suzuki,Swift,2003.0,23.0,1490000.0,14.214287349062356,Automatic,Petrol,13000.0,"Dehiwala, Colombo",40500000,17.516812556768127
ikman,Toyota,Raize,2025.0,1.0,70000.0,11.156264806643742,Tiptronic,Petrol,12000.0,"Nugegoda, Colombo",140000000,18.757152987716434
ikman,Toyota,Townace,1986.0,40.0,1443900.0,14.182859036527809,Other,Other,15000.0,"Ambalantota, Hambantota",27000000,17.11134746100564
ikman,Nissan,Other Model,2016.0,10.0,1350000.0,14.115615891155079,Other,Other,15500.0,"Galle City, Galle",105000000,18.46947091764561
ikman,Toyota,Dolphin,1990.0,36.0,1500000.0,14.220976332738882,Other,Other,27700.0,"Dehiwala, Colombo",88000000,18.292847383806116
ikman,Toyota,Roomy,2023.0,3.0,52100.0,10.860939421415225,Automatic,Petrol,10000.0,"Boralesgamuwa, Colombo",88500000,18.298513121277594
ikman,Audi,Q2,2018.0,8.0,770000.0,13.554147092530322,Automatic,Petrol,10000.0,Dehiwala,118500000,18.590423526978277
ikman,Suzuki,Alto,2015.0,11.0,896570.0,13.70633276576816,Manual,Petrol,8000.0,Galle City,41700000,17.546011710749845
ikman,Toyota,Raize,2025.0,1.0,0.0,0.0,Automatic,Hybrid,12000.0,"Colombo 6, Colombo",146500000,18.802535993247336
ikman,Toyota,Townace,1991.0,35.0,2054280.0,14.535436466345264,Other,Other,19700.0,"Chilaw, Puttalam",27500000,17.129696599000436
ikman,Suzuki,Alto,2024.0,2.0,20000.0,9.90353755128617,Automatic,Hybrid,6500.0,"Colombo 6, Colombo",73900000,18.11822339945023
